"ID","attribute_order"
"A3_1","1 | 2 | 3"
"A3_2","3 | 2 | 1"
"A3_3","3 | 1 | 2"
"A3_4","2 | 3 | 1"
"A3_5","2 | 3 | 1"
"A3_6","1 | 2 | 3"
"A3_7","2 | 3 | 1"
"A3_8","2 | 1 | 3"
"A3_9","2 | 3 | 1"
"A3_10","1 | 3 | 2"
"A3_11","1 | 2 | 3"
"A3_12","2 | 3 | 1"
"A3_13","1 | 2 | 3"
"A3_14","1 | 3 | 2"
"A3_15","2 | 1 | 3"
"A3_16","3 | 1 | 2"
"A3_17","1 | 2 | 3"
"A3_18","2 | 3 | 1"
"A3_19","2 | 1 | 3"
"A3_20","1 | 2 | 3"
"A3_21","2 | 1 | 3"
"A3_22","1 | 2 | 3"
"A3_23","1 | 2 | 3"
"A3_24","3 | 2 | 1"
"A3_25","2 | 3 | 1"
"A3_26","3 | 2 | 1"
"A3_27","1 | 2 | 3"
"A3_28","1 | 3 | 2"
"A3_29","2 | 3 | 1"
"A3_30","2 | 3 | 1"
"A3_31","3 | 1 | 2"
"A3_32","1 | 2 | 3"
"A3_33","2 | 1 | 3"
"A3_34","1 | 3 | 2"
"A3_35","3 | 1 | 2"
"A3_36","1 | 2 | 3"
