"bread","filling","side","price","ID"
"rye","peanut butter","fries","$5","A4_1"
"whole wheat","peanut butter","fries","$5","A4_2"
"rice flour","peanut butter","fries","$5","A4_3"
"rye","Impossible Meat","fries","$5","A4_4"
"whole wheat","Impossible Meat","fries","$5","A4_5"
"rice flour","Impossible Meat","fries","$5","A4_6"
"rye","roasted veggies","fries","$5","A4_7"
"whole wheat","roasted veggies","fries","$5","A4_8"
"rice flour","roasted veggies","fries","$5","A4_9"
"rye","peanut butter","salad","$5","A4_10"
"whole wheat","peanut butter","salad","$5","A4_11"
"rice flour","peanut butter","salad","$5","A4_12"
"rye","Impossible Meat","salad","$5","A4_13"
"whole wheat","Impossible Meat","salad","$5","A4_14"
"rice flour","Impossible Meat","salad","$5","A4_15"
"rye","roasted veggies","salad","$5","A4_16"
"whole wheat","roasted veggies","salad","$5","A4_17"
"rice flour","roasted veggies","salad","$5","A4_18"
"rye","peanut butter","cake","$5","A4_19"
"whole wheat","peanut butter","cake","$5","A4_20"
"rice flour","peanut butter","cake","$5","A4_21"
"rye","Impossible Meat","cake","$5","A4_22"
"whole wheat","Impossible Meat","cake","$5","A4_23"
"rice flour","Impossible Meat","cake","$5","A4_24"
"rye","roasted veggies","cake","$5","A4_25"
"whole wheat","roasted veggies","cake","$5","A4_26"
"rice flour","roasted veggies","cake","$5","A4_27"
"rye","peanut butter","jelly","$5","A4_28"
"whole wheat","peanut butter","jelly","$5","A4_29"
"rice flour","peanut butter","jelly","$5","A4_30"
"rye","Impossible Meat","jelly","$5","A4_31"
"whole wheat","Impossible Meat","jelly","$5","A4_32"
"rice flour","Impossible Meat","jelly","$5","A4_33"
"rye","roasted veggies","jelly","$5","A4_34"
"whole wheat","roasted veggies","jelly","$5","A4_35"
"rice flour","roasted veggies","jelly","$5","A4_36"
"rye","peanut butter","fries","$7","A4_37"
"whole wheat","peanut butter","fries","$7","A4_38"
"rice flour","peanut butter","fries","$7","A4_39"
"rye","Impossible Meat","fries","$7","A4_40"
"whole wheat","Impossible Meat","fries","$7","A4_41"
"rice flour","Impossible Meat","fries","$7","A4_42"
"rye","roasted veggies","fries","$7","A4_43"
"whole wheat","roasted veggies","fries","$7","A4_44"
"rice flour","roasted veggies","fries","$7","A4_45"
"rye","peanut butter","salad","$7","A4_46"
"whole wheat","peanut butter","salad","$7","A4_47"
"rice flour","peanut butter","salad","$7","A4_48"
"rye","Impossible Meat","salad","$7","A4_49"
"whole wheat","Impossible Meat","salad","$7","A4_50"
"rice flour","Impossible Meat","salad","$7","A4_51"
"rye","roasted veggies","salad","$7","A4_52"
"whole wheat","roasted veggies","salad","$7","A4_53"
"rice flour","roasted veggies","salad","$7","A4_54"
"rye","peanut butter","cake","$7","A4_55"
"whole wheat","peanut butter","cake","$7","A4_56"
"rice flour","peanut butter","cake","$7","A4_57"
"rye","Impossible Meat","cake","$7","A4_58"
"whole wheat","Impossible Meat","cake","$7","A4_59"
"rice flour","Impossible Meat","cake","$7","A4_60"
"rye","roasted veggies","cake","$7","A4_61"
"whole wheat","roasted veggies","cake","$7","A4_62"
"rice flour","roasted veggies","cake","$7","A4_63"
"rye","peanut butter","jelly","$7","A4_64"
"whole wheat","peanut butter","jelly","$7","A4_65"
"rice flour","peanut butter","jelly","$7","A4_66"
"rye","Impossible Meat","jelly","$7","A4_67"
"whole wheat","Impossible Meat","jelly","$7","A4_68"
"rice flour","Impossible Meat","jelly","$7","A4_69"
"rye","roasted veggies","jelly","$7","A4_70"
"whole wheat","roasted veggies","jelly","$7","A4_71"
"rice flour","roasted veggies","jelly","$7","A4_72"
"rye","peanut butter","fries","$10","A4_73"
"whole wheat","peanut butter","fries","$10","A4_74"
"rice flour","peanut butter","fries","$10","A4_75"
"rye","Impossible Meat","fries","$10","A4_76"
"whole wheat","Impossible Meat","fries","$10","A4_77"
"rice flour","Impossible Meat","fries","$10","A4_78"
"rye","roasted veggies","fries","$10","A4_79"
"whole wheat","roasted veggies","fries","$10","A4_80"
"rice flour","roasted veggies","fries","$10","A4_81"
"rye","peanut butter","salad","$10","A4_82"
"whole wheat","peanut butter","salad","$10","A4_83"
"rice flour","peanut butter","salad","$10","A4_84"
"rye","Impossible Meat","salad","$10","A4_85"
"whole wheat","Impossible Meat","salad","$10","A4_86"
"rice flour","Impossible Meat","salad","$10","A4_87"
"rye","roasted veggies","salad","$10","A4_88"
"whole wheat","roasted veggies","salad","$10","A4_89"
"rice flour","roasted veggies","salad","$10","A4_90"
"rye","peanut butter","cake","$10","A4_91"
"whole wheat","peanut butter","cake","$10","A4_92"
"rice flour","peanut butter","cake","$10","A4_93"
"rye","Impossible Meat","cake","$10","A4_94"
"whole wheat","Impossible Meat","cake","$10","A4_95"
"rice flour","Impossible Meat","cake","$10","A4_96"
"rye","roasted veggies","cake","$10","A4_97"
"whole wheat","roasted veggies","cake","$10","A4_98"
"rice flour","roasted veggies","cake","$10","A4_99"
"rye","peanut butter","jelly","$10","A4_100"
"whole wheat","peanut butter","jelly","$10","A4_101"
"rice flour","peanut butter","jelly","$10","A4_102"
"rye","Impossible Meat","jelly","$10","A4_103"
"whole wheat","Impossible Meat","jelly","$10","A4_104"
"rice flour","Impossible Meat","jelly","$10","A4_105"
"rye","roasted veggies","jelly","$10","A4_106"
"whole wheat","roasted veggies","jelly","$10","A4_107"
"rice flour","roasted veggies","jelly","$10","A4_108"
"rye","peanut butter","fries","12","A4_109"
"whole wheat","peanut butter","fries","12","A4_110"
"rice flour","peanut butter","fries","12","A4_111"
"rye","Impossible Meat","fries","12","A4_112"
"whole wheat","Impossible Meat","fries","12","A4_113"
"rice flour","Impossible Meat","fries","12","A4_114"
"rye","roasted veggies","fries","12","A4_115"
"whole wheat","roasted veggies","fries","12","A4_116"
"rice flour","roasted veggies","fries","12","A4_117"
"rye","peanut butter","salad","12","A4_118"
